date,temp
08-02-2015 14:58:12, 19937
08-02-2015 15:00:02, 20000
08-02-2015 15:05:02, 19875
08-02-2015 15:10:02, 19687
08-02-2015 15:15:02, 19625
08-02-2015 15:20:02, 19625
08-02-2015 15:25:02, 19687
08-02-2015 15:30:02, 19562
08-02-2015 15:35:02, 19625
08-02-2015 15:40:03, 19625
08-02-2015 15:45:02, 19562
08-02-2015 15:50:02, 19500
08-02-2015 15:55:02, 19500
08-02-2015 16:00:02, 19562
08-02-2015 16:05:02, 19437
08-02-2015 16:10:02, 19437
08-02-2015 16:15:02, 19375
08-02-2015 16:20:02, 19437
08-02-2015 16:25:02, 19312
08-02-2015 16:30:02, 19125
08-02-2015 16:35:02, 19125
08-02-2015 16:40:02, 19125
08-02-2015 16:45:02, 19125
08-02-2015 16:50:03, 19125
08-02-2015 16:55:02, 19062
